%"day" "month" "year" "level" "release" "inflow"
1 1 2000 0.025 91.2 40.8
2 1 2000 -0.005 90.5 65.3
3 1 2000 -0.02 90 90
4 1 2000 -0.02 90 81.6
5 1 2000 -0.025 86.4 94.8
6 1 2000 -0.02 85.9 69.1
7 1 2000 -0.03 85.9 94.3
8 1 2000 -0.025 85.5 51.9
9 1 2000 -0.045 84.8 42.8
10 1 2000 -0.07 84.5 92.9
11 1 2000 -0.065 84.4 76
12 1 2000 -0.07 84.4 84.4
13 1 2000 -0.07 84.4 84.4
14 1 2000 -0.07 84.6 93
15 1 2000 -0.065 84.4 50.8
16 1 2000 -0.085 83.6 41.6
17 1 2000 -0.11 83.7 117.3
18 1 2000 -0.09 83.9 33.5
19 1 2000 -0.12 83.3 91.7
20 1 2000 -0.115 83.3 91.7
21 1 2000 -0.11 83.6 83.6
22 1 2000 -0.11 82.8 49.2
23 1 2000 -0.13 84.1 25.3
24 1 2000 -0.165 83.4 83.4
25 1 2000 -0.165 83.5 91.9
26 1 2000 -0.16 83.6 83.6
27 1 2000 -0.16 83.7 92.1
28 1 2000 -0.155 83.8 75.4
29 1 2000 -0.16 83.4 66.6
30 1 2000 -0.17 82.9 15.7
31 1 2000 -0.21 85 93.4
1 2 2000 -0.205 85.3 85.3
2 2 2000 -0.205 85.2 76.8
3 2 2000 -0.21 86.1 77.7
4 2 2000 -0.215 77.4 69
5 2 2000 -0.22 75.8 50.6
6 2 2000 -0.235 75.2 24.8
7 2 2000 -0.265 74.7 91.5
8 2 2000 -0.255 74.8 83.2
9 2 2000 -0.25 75 58.2
10 2 2000 -0.26 74.9 83.3
11 2 2000 -0.255 65.7 82.5
12 2 2000 -0.245 64.3 39.1
13 2 2000 -0.26 64 38.8
14 2 2000 -0.275 63.7 72.1
15 2 2000 -0.27 63.9 72.3
16 2 2000 -0.265 64.2 106.2
17 2 2000 -0.24 64.4 72.8
18 2 2000 -0.235 64.4 72.8
19 2 2000 -0.23 64.5 56.1
20 2 2000 -0.235 64.2 22.2
21 2 2000 -0.26 63.6 46.8
22 2 2000 -0.27 64.1 80.9
23 2 2000 -0.26 64.2 81
24 2 2000 -0.25 64.2 81
25 2 2000 -0.24 64.4 64.4
26 2 2000 -0.24 64.3 39.1
27 2 2000 -0.255 63.8 30.2
28 2 2000 -0.275 63.5 55.1
29 2 2000 -0.28 63.7 105.7
1 3 2000 -0.255 64.3 114.7
2 3 2000 -0.225 64.1 38.9
3 3 2000 -0.24 63.8 63.8
4 3 2000 -0.24 63.8 30.2
5 3 2000 -0.26 63.1 21.1
6 3 2000 -0.285 62.9 71.3
7 3 2000 -0.28 62.8 54.4
8 3 2000 -0.285 62.8 71.2
9 3 2000 -0.28 62.9 71.3
10 3 2000 -0.275 67.9 67.9
11 3 2000 -0.275 67.9 34.3
12 3 2000 -0.295 67.4 50.6
13 3 2000 -0.305 65.8 57.4
14 3 2000 -0.31 64.8 64.8
15 3 2000 -0.31 64.9 64.9
16 3 2000 -0.31 64.7 47.9
17 3 2000 -0.32 64.5 47.7
18 3 2000 -0.33 64.4 47.6
19 3 2000 -0.34 64.2 22.2
20 3 2000 -0.365 54.6 71.4
21 3 2000 -0.355 54 62.4
22 3 2000 -0.35 54.2 62.6
23 3 2000 -0.345 51.6 60
24 3 2000 -0.34 51.9 68.7
25 3 2000 -0.33 51.7 60.1
26 3 2000 -0.325 53 145.4
27 3 2000 -0.27 53.4 70.2
28 3 2000 -0.26 54.4 121.6
29 3 2000 -0.22 55 80.2
30 3 2000 -0.205 55 130.6
31 3 2000 -0.16 55.4 89
1 4 2000 -0.14 55.4 55.4
2 4 2000 -0.14 55.3 55.3
3 4 2000 -0.14 70.8 138
4 4 2000 -0.1 71.6 130.4
5 4 2000 -0.065 84.8 76.4
6 4 2000 -0.07 86.7 78.3
7 4 2000 -0.075 86.5 86.5
8 4 2000 -0.075 86.1 35.7
9 4 2000 -0.105 85.5 68.7
10 4 2000 -0.115 85 68.2
11 4 2000 -0.125 84.8 84.8
12 4 2000 -0.125 85.5 135.9
13 4 2000 -0.095 104.4 247.2
14 4 2000 -0.01 134.1 184.5
15 4 2000 0.02 137.2 187.6
16 4 2000 0.05 136.7 178.7
17 4 2000 0.07 142.1 419.3
18 4 2000 0.235 165.5 358.7
19 4 2000 0.35 169 244.6
20 4 2000 0.395 192.2 200.6
21 4 2000 0.4 195.1 178.3
22 4 2000 0.39 194.7 194.7
23 4 2000 0.39 196.1 229.7
24 4 2000 0.41 199.3 274.9
25 4 2000 0.455 199.4 174.2
26 4 2000 0.44 199.3 216.1
27 4 2000 0.45 222.8 197.6
28 4 2000 0.435 229.2 321.6
29 4 2000 0.49 233.6 292.4
30 4 2000 0.525 234.3 234.3
1 5 2000 0.525 233.1 207.9
2 5 2000 0.51 234 250.8
3 5 2000 0.52 234.6 243
4 5 2000 0.525 235.7 252.5
5 5 2000 0.535 238.8 348
6 5 2000 0.6 293.9 394.7
7 5 2000 0.66 315.8 315.8
8 5 2000 0.66 315.4 315.4
9 5 2000 0.66 313.9 322.3
10 5 2000 0.665 315.5 407.9
11 5 2000 0.72 346 463.6
12 5 2000 0.79 374.7 391.5
13 5 2000 0.8 372.6 339
14 5 2000 0.78 366.6 307.8
15 5 2000 0.745 358.6 316.6
16 5 2000 0.72 311.8 278.2
17 5 2000 0.7 305 271.4
18 5 2000 0.68 306.4 398.8
19 5 2000 0.735 325.9 317.5
20 5 2000 0.73 327.6 252
21 5 2000 0.685 319 235
22 5 2000 0.635 282.5 232.1
23 5 2000 0.605 269.2 218.8
24 5 2000 0.575 235.7 218.9
25 5 2000 0.565 232.1 206.9
26 5 2000 0.55 214 239.2
27 5 2000 0.565 214 272.8
28 5 2000 0.6 233.5 334.3
29 5 2000 0.66 244.3 277.9
30 5 2000 0.68 244.5 252.9
31 5 2000 0.685 244.6 236.2
1 6 2000 0.68 243.2 209.6
2 6 2000 0.66 241.6 233.2
3 6 2000 0.655 240.8 215.6
4 6 2000 0.64 240.7 265.9
5 6 2000 0.655 240.3 231.9
6 6 2000 0.65 240.4 257.2
7 6 2000 0.66 239.2 197.2
8 6 2000 0.635 217.5 234.3
9 6 2000 0.645 212.2 203.8
10 6 2000 0.64 211.3 202.9
11 6 2000 0.635 213.5 280.7
12 6 2000 0.675 214.7 239.9
13 6 2000 0.69 215.8 249.4
14 6 2000 0.71 216 216
15 6 2000 0.71 216.1 232.9
16 6 2000 0.72 215.8 182.2
17 6 2000 0.7 213.1 129.1
18 6 2000 0.65 203.2 186.4
19 6 2000 0.64 201.2 176
20 6 2000 0.625 199.7 191.3
21 6 2000 0.62 198.9 165.3
22 6 2000 0.6 197.3 155.3
23 6 2000 0.575 199.6 266.8
24 6 2000 0.615 201.2 176
25 6 2000 0.6 199.2 123.6
26 6 2000 0.555 197.3 163.7
27 6 2000 0.535 197.7 155.7
28 6 2000 0.51 196 162.4
29 6 2000 0.49 196.8 146.4
30 6 2000 0.46 196.3 162.7
1 7 2000 0.44 196.3 87.1
2 7 2000 0.375 195.2 119.6
3 7 2000 0.33 193.3 142.9
4 7 2000 0.3 196.8 230.4
5 7 2000 0.32 198.1 181.3
6 7 2000 0.31 195.4 136.6
7 7 2000 0.275 194.4 152.4
8 7 2000 0.25 194.4 135.6
9 7 2000 0.215 191.3 40.1
10 7 2000 0.125 190.6 400.6
11 7 2000 0.25 205.4 558.2
12 7 2000 0.46 196.1 263.3
13 7 2000 0.5 193.6 185.2
14 7 2000 0.495 193 193
15 7 2000 0.495 192.1 108.1
16 7 2000 0.445 189.3 122.1
17 7 2000 0.405 189.8 139.4
18 7 2000 0.375 187.7 145.7
19 7 2000 0.35 187.7 120.5
20 7 2000 0.31 186.5 119.3
21 7 2000 0.27 186.1 144.1
22 7 2000 0.245 185.3 67.7
23 7 2000 0.175 184.9 142.9
24 7 2000 0.15 195.6 733.2
25 7 2000 0.47 211.7 581.3
26 7 2000 0.69 298.8 525.6
27 7 2000 0.825 307.9 299.5
28 7 2000 0.82 277 277
29 7 2000 0.82 242.3 183.5
30 7 2000 0.785 236.6 144.2
31 7 2000 0.73 221 162.2
1 8 2000 0.695 217 124.6
2 8 2000 0.64 219.5 160.7
3 8 2000 0.605 219.9 228.3
4 8 2000 0.61 320 639.2
5 8 2000 0.8 368.1 401.7
6 8 2000 0.82 370.5 362.1
7 8 2000 0.815 366.1 282.1
8 8 2000 0.765 270.9 220.5
9 8 2000 0.735 242.5 200.5
10 8 2000 0.71 219.5 185.9
11 8 2000 0.69 210.6 168.6
12 8 2000 0.665 209.7 192.9
13 8 2000 0.655 208.2 174.6
14 8 2000 0.635 182.8 149.2
15 8 2000 0.615 179.7 137.7
16 8 2000 0.59 178.6 136.6
17 8 2000 0.565 179.3 162.5
18 8 2000 0.555 178.1 119.3
19 8 2000 0.52 178.2 144.6
20 8 2000 0.5 178.3 111.1
21 8 2000 0.46 178.9 128.5
22 8 2000 0.43 179.3 145.7
23 8 2000 0.41 179.1 103.5
24 8 2000 0.365 179.9 129.5
25 8 2000 0.335 169.3 85.3
26 8 2000 0.285 169.4 93.8
27 8 2000 0.24 168 92.4
28 8 2000 0.195 168.1 92.5
29 8 2000 0.15 168.5 134.9
30 8 2000 0.13 168.8 118.4
31 8 2000 0.1 169.1 185.9
1 9 2000 0.11 168.3 134.7
2 9 2000 0.09 167.8 100.6
3 9 2000 0.05 165.4 73
4 9 2000 -0.005 165.5 98.3
5 9 2000 -0.045 152.8 94
6 9 2000 -0.08 149.3 98.9
